src,sid,score,trig,dev_trig,act,dev_act,acts,n_act,mobile,text_ok,text,note
ifttt,ifttt:wcC9tfDg,15,arrive,PersonTracker,light.scene,Light,light.scene,1,1,0,,Location
ifttt,ifttt:jrhcA8d9,35,voice,,switch,Switch,switch,1,0,0,,Voice assistants
ifttt,ifttt:bA234tuT,25,voice,,switch,Switch,switch,1,0,0,,Voice assistants
ifttt,ifttt:KhS8uDsd,487,voice,,light.on,Light,light.on,1,0,0,,Voice assistants
ifttt,ifttt:QHUCMc5D,8908,voice,,light.dim,Light,light.dim|light.on,2,0,0,,Voice assistants
ifttt,ifttt:Dwa6gyV4,503,voice,,light.color,Light,light.color|light.dim|light.on,3,1,0,,Voice assistants
ifttt,ifttt:i6qF8sAQ,217,threshold,TemperatureSensor,thermostat,Thermostat,thermostat|notify,2,1,0,,Environment control & monitoring
ifttt,ifttt:wTnUXSNk,730,battery,Battery,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt,ifttt:mF3MGHUf,14,doorbell,Doorbell,notify,NotificationProvider,notify|camera,2,0,0,,Security & monitoring systems
ifttt,ifttt:AEs8ZRdz,10,finished,LaundryWasher,light.color,Light,light.color|light.on|notify,3,1,0,,Appliances
ifttt,ifttt:mYxea4V9,11,battery,Battery,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt,ifttt:VBFhfmr7,11,contact,ContactSensor,light.color,Light,light.color|light.on|notify,3,1,0,,Appliances
ifttt,ifttt:qiBSGrjZ,10,contact,ContactSensor,light.color,Light,light.color|light.on|notify,3,1,0,,Appliances
ifttt,ifttt:ATR9EuDh,1770,weather,WeatherProvider,light.color,Light,light.color|light.on|notify|camera,4,0,0,,Weather
ifttt,ifttt:CtzzbN21,2239,message,MessageSender,light.color,Light,light.color|light.on|notify,3,1,0,,Notifications
ifttt,ifttt:KVTtRgmy,15,timer,Clock,light.color,Light,light.color|light.on|notify|timer,4,0,0,,Appliances
ifttt,ifttt:GACukMTq,665,button,Button,,,,0,0,0,,Mobile devices & accessories
ifttt,ifttt:DqcjKMTG,23,voice,,plug,Plug,plug|coffee,2,0,0,,Voice assistants
ifttt,ifttt:wLzqNP2i,15,time,Clock,coffee,CoffeeMaker,coffee,1,0,0,,Calendars & scheduling
ifttt,ifttt:iryfcmUu,26,message,MessageSender,light.color,Light,light.color|light.on|notify,3,1,0,,Notifications
ifttt,ifttt:cjFQEZmN,300,contact,ContactSensor,garage,GarageDoor,garage,1,0,0,,Calendars & scheduling
ifttt,ifttt:DSgURDP4,307,arrive,PersonTracker,light.scene,Light,light.scene,1,1,0,,Location
ifttt,ifttt:A8vwSAns,27,weather,WeatherProvider,light.color,Light,light.color|light.on|notify,3,1,0,,Weather
ifttt,ifttt:HXDE3HdR,115,time,Clock,thermostat,Thermostat,thermostat,1,0,0,,Calendars & scheduling
ifttt,ifttt:vmYSsuXj,10,voice,,ac,AirConditioner,ac,1,0,0,,Voice assistants
ifttt,ifttt:d7zHUu48,33,leak,LeakSensor,light.color,Light,light.color|light.on|switch,3,0,0,,Environment control & monitoring
ifttt,ifttt:PNFMx2Ef,10,finished,LaundryWasher,light.on,Light,light.on,1,0,0,,Appliances
ifttt,ifttt:qPd8YgsC,90,power,PowerMeter,thermostat,Thermostat,thermostat|lock,2,0,0,,Power monitoring & management
ifttt,ifttt:mA784r3M,889,button,Button,,,,0,0,0,,Mobile devices & accessories
ifttt,ifttt:Tkr9Jp4L,36,motion,MotionSensor,camera,Camera,camera,1,0,0,,Security & monitoring systems
ifttt,ifttt:vqwtMFuQ,105,weather,WeatherProvider,sprinkler,Sprinkler,sprinkler,1,0,0,,Weather
ifttt,ifttt:cXFZtGYQ,11,time,Clock,thermostat,Thermostat,thermostat,1,0,0,,Calendars & scheduling
ifttt,ifttt:KvbQMqYr,5264,threshold,TemperatureSensor,light.on,Light,light.on|thermostat|switch,3,0,0,,Environment control & monitoring
ifttt,ifttt:fMcpiX4T,1832,leave,PersonTracker,thermostat,Thermostat,thermostat,1,0,0,,Environment control & monitoring
ifttt,ifttt:TxecQMqW,307,button,Button,media,Television,media|sprinkler,2,0,0,,Mobile devices & accessories
ifttt,ifttt:fy3VxnLt,18,leave,PersonTracker,,,,0,1,0,,Location
