mode,trig,act,dev_trig,dev_act,installs,views,weight,n_rules,quota,spaces
trigger,button,light.scene,Button,Light,25429,124460,0.074323,30,127,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FACT01 FACT02
trigger,button,light.dim,Button,Light,3963,66701,0.047293,11,82,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FACT01 FACT02
trigger,sun,light.on,SunProvider,Light,212120,464302,0.044690,87,78,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,time,notify,Clock,NotificationProvider,290205,0,0.036189,193,82,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,button,light.on,Button,Light,237715,102712,0.034841,46,61,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FACT01 FACT02
trigger,motion,light.on,MotionSensor,Light,7973,637358,0.033993,47,60,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
trigger,threshold,fan,TemperatureSensor,Fan,156,208748,0.033986,6,78,HOME01 HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME13 HOME14 HOME17 HOME19 HOME20 OFFICE01 OFFICE04 FARM02
trigger,weather,notify,WeatherProvider,NotificationProvider,1118528,4652,0.033780,126,77,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM01 FARM02 FARM03 FARM04 FACT01 FACT05
trigger,threshold,light.color,TemperatureSensor,Light,2332,19079,0.026373,22,47,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,sun,cover,SunProvider,WindowCovering,245,215615,0.018977,9,44,HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME11 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05 FARM01
